filename,t_score,p_value,stat_signif,classifier_mean,majority_class_mean,classifier_std_error,majority_class_std_error,classifier_CI_str,majority_class_CI_str,components,F,T,GROUP,K,CRIT
F=cate-all-recc_T=freq_GROUP=8_CRIT=entropy,43.381725081895176,1.1657232824177462e-44,1,0.2377793620701841,0.1228341719366563,0.0112418332712029,0.0091780253396734,"[0.2157, 0.2598]","[0.1048, 0.1408]","['F=cate-all-recc', 'T=freq', 'GROUP=8', 'CRIT=entropy']",cate-all-recc,freq,8,,entropy
F=cate-all-recc_T=freq_GROUP=8_CRIT=gini,39.53633362443452,1.4143407363854613e-43,1,0.2449872409775228,0.1230334413264373,0.0122315555482068,0.0116546934957943,"[0.2210, 0.2690]","[0.1002, 0.1459]","['F=cate-all-recc', 'T=freq', 'GROUP=8', 'CRIT=gini']",cate-all-recc,freq,8,,gini
F=cate-all-recc_T=freq_GROUP=8_CRIT=log-loss,36.52940994500869,1.1160350251271916e-41,1,0.2407441497803819,0.1294864278884987,0.0120423629725043,0.0115442903248884,"[0.2171, 0.2643]","[0.1069, 0.1521]","['F=cate-all-recc', 'T=freq', 'GROUP=8', 'CRIT=log-loss']",cate-all-recc,freq,8,,log-loss
F=cate-all-recc_T=freq_GROUP=8_CRIT=random,31.14596650529208,3.313754258124586e-35,1,0.2394935549889574,0.1206145178349301,0.0171540841850699,0.011949244356674,"[0.2059, 0.2731]","[0.0972, 0.1440]","['F=cate-all-recc', 'T=freq', 'GROUP=8', 'CRIT=random']",cate-all-recc,freq,8,,random
F=cate-all-recc_T=kmeans_GROUP=8_CRIT=entropy,-1.2652545788492102,0.2108884968631574,0,0.4647003870261793,0.4704391036972874,0.0166796163276735,0.0184104981745023,"[0.4320, 0.4974]","[0.4344, 0.5065]","['F=cate-all-recc', 'T=kmeans', 'GROUP=8', 'CRIT=entropy']",cate-all-recc,kmeans,8,,entropy
F=cate-all-recc_T=kmeans_GROUP=8_CRIT=gini,-2.169914862759505,0.0341297749893353,-1,0.4724123712227236,0.481897192744931,0.017279285350815,0.0165713751176827,"[0.4385, 0.5063]","[0.4494, 0.5144]","['F=cate-all-recc', 'T=kmeans', 'GROUP=8', 'CRIT=gini']",cate-all-recc,kmeans,8,,gini
F=cate-all-recc_T=kmeans_GROUP=8_CRIT=log-loss,-1.039398982162397,0.3030824244768175,0,0.4640290526956897,0.4680258334318287,0.0134314896382242,0.0162228410468296,"[0.4377, 0.4904]","[0.4362, 0.4998]","['F=cate-all-recc', 'T=kmeans', 'GROUP=8', 'CRIT=log-loss']",cate-all-recc,kmeans,8,,log-loss
F=cate-all-recc_T=kmeans_GROUP=8_CRIT=random,-1.9605523333406687,0.0547614542564107,0,0.4608738981506374,0.4676395152531726,0.0138027196771095,0.012912810010103,"[0.4338, 0.4879]","[0.4423, 0.4929]","['F=cate-all-recc', 'T=kmeans', 'GROUP=8', 'CRIT=random']",cate-all-recc,kmeans,8,,random
F=cate-all-recc_T=log-range_GROUP=8_CRIT=entropy,-3.68745490954152,0.0005008737274906,-1,0.6814733922326197,0.6938632685056996,0.0131015828921737,0.0129243198792984,"[0.6558, 0.7072]","[0.6685, 0.7192]","['F=cate-all-recc', 'T=log-range', 'GROUP=8', 'CRIT=entropy']",cate-all-recc,log-range,8,,entropy
F=cate-all-recc_T=log-range_GROUP=8_CRIT=gini,-2.6531728072259044,0.0103705157036078,-1,0.6894941670909314,0.6997324104265433,0.013340621049244,0.01639370825431,"[0.6633, 0.7156]","[0.6676, 0.7319]","['F=cate-all-recc', 'T=log-range', 'GROUP=8', 'CRIT=gini']",cate-all-recc,log-range,8,,gini
