filename,t_score,p_value,stat_signif,classifier_mean,majority_class_mean,classifier_std_error,majority_class_std_error,classifier_CI_str,majority_class_CI_str,components,F,T,GROUP,K
F=all_T=freq_GROUP=100_K=100,-3.611608809021936,0.0006515326065012,-1,0.0117737010816059,0.0128310276283056,0.001237137528361,0.001020149067686,"[0.0093, 0.0142]","[0.0108, 0.0148]","['F=all', 'T=freq', 'GROUP=100', 'K=100']",all,freq,100,100
F=all_T=freq_GROUP=100_K=1000,0.9489071378706782,0.3467092067441343,0,0.0128984923326833,0.012594523252089,0.0011350448085182,0.0013379563273209,"[0.0107, 0.0151]","[0.0100, 0.0152]","['F=all', 'T=freq', 'GROUP=100', 'K=1000']",all,freq,100,1000
F=all_T=freq_GROUP=100_K=5,-4.89779326679042,1.0719116489349224e-05,-1,0.0109534395347762,0.0124291769932673,0.000895664474638,0.0013861295918275,"[0.0092, 0.0127]","[0.0097, 0.0151]","['F=all', 'T=freq', 'GROUP=100', 'K=5']",all,freq,100,5
F=all_T=freq_GROUP=10_K=100,21.16262880694109,1.3740051524524132e-28,1,0.1194665761308237,0.100661384617315,0.0036940016500078,0.0031690457614963,"[0.1122, 0.1267]","[0.0945, 0.1069]","['F=all', 'T=freq', 'GROUP=10', 'K=100']",all,freq,10,100
F=all_T=freq_GROUP=10_K=1000,25.056555669814443,1.0821782880751019e-32,1,0.1218058566581772,0.0987912032140284,0.0034229409392708,0.003686895475093,"[0.1151, 0.1285]","[0.0916, 0.1060]","['F=all', 'T=freq', 'GROUP=10', 'K=1000']",all,freq,10,1000
F=all_T=freq_GROUP=10_K=5,10.268889075911837,1.1507661763932627e-14,1,0.1074699904356632,0.099233584131065,0.0030989048405935,0.0031139135341546,"[0.1014, 0.1135]","[0.0931, 0.1053]","['F=all', 'T=freq', 'GROUP=10', 'K=5']",all,freq,10,5
F=all_T=freq_GROUP=15_K=100,17.40619282654202,1.5327829022914383e-24,1,0.0799853180867654,0.0675245133602311,0.0029240595797997,0.0026123834711653,"[0.0743, 0.0857]","[0.0624, 0.0726]","['F=all', 'T=freq', 'GROUP=15', 'K=100']",all,freq,15,100
F=all_T=freq_GROUP=15_K=1000,21.389480958541697,4.919170012873055e-28,1,0.0825787421688085,0.0662815015229423,0.003328250338047,0.002517691378424,"[0.0761, 0.0891]","[0.0613, 0.0712]","['F=all', 'T=freq', 'GROUP=15', 'K=1000']",all,freq,15,1000
F=all_T=freq_GROUP=15_K=5,6.454387168922216,2.7848532270203924e-08,1,0.0719115470933415,0.0671603738038303,0.0031215624798059,0.0025518269348723,"[0.0658, 0.0780]","[0.0622, 0.0722]","['F=all', 'T=freq', 'GROUP=15', 'K=5']",all,freq,15,5
F=all_T=freq_GROUP=20_K=100,15.630081491141516,2.0287270713748191e-22,1,0.0596701916951498,0.0501040218133074,0.0022993092473052,0.0024394287574087,"[0.0552, 0.0642]","[0.0453, 0.0549]","['F=all', 'T=freq', 'GROUP=20', 'K=100']",all,freq,20,100
F=all_T=freq_GROUP=20_K=1000,21.604188186076364,2.0299213379560437e-29,1,0.0624450593429893,0.0492349748291089,0.0023854265742611,0.0023507911347137,"[0.0578, 0.0671]","[0.0446, 0.0538]","['F=all', 'T=freq', 'GROUP=20', 'K=1000']",all,freq,20,1000
F=all_T=freq_GROUP=20_K=5,5.762563003480198,3.383253124614174e-07,1,0.0537672088197562,0.0503205265771585,0.0023893216349886,0.002241301299684,"[0.0491, 0.0585]","[0.0459, 0.0547]","['F=all', 'T=freq', 'GROUP=20', 'K=5']",all,freq,20,5
F=all_T=freq_GROUP=25_K=100,12.58266953435396,4.384111221757324e-18,1,0.0478036717759355,0.0401029435065135,0.0025259506573438,0.0022036982174087,"[0.0429, 0.0528]","[0.0358, 0.0444]","['F=all', 'T=freq', 'GROUP=25', 'K=100']",all,freq,25,100
F=all_T=freq_GROUP=25_K=1000,13.053771121803148,9.835484064008285e-19,1,0.0496392961100344,0.0402482001402471,0.0029866807607411,0.0025703177304801,"[0.0438, 0.0555]","[0.0352, 0.0453]","['F=all', 'T=freq', 'GROUP=25', 'K=1000']",all,freq,25,1000
F=all_T=freq_GROUP=25_K=5,4.619048199275758,2.2014301709454213e-05,1,0.042932681493096,0.0402270164538276,0.0021994743567533,0.0023357744678599,"[0.0386, 0.0472]","[0.0356, 0.0448]","['F=all', 'T=freq', 'GROUP=25', 'K=5']",all,freq,25,5
F=all_T=freq_GROUP=30_K=100,9.347233318481566,5.472059044772872e-13,1,0.0396630078168673,0.0340941373948917,0.0025428413654592,0.0020451110785427,"[0.0347, 0.0446]","[0.0301, 0.0381]","['F=all', 'T=freq', 'GROUP=30', 'K=100']",all,freq,30,100
F=all_T=freq_GROUP=30_K=1000,14.729672407387495,5.5984749818141124e-21,1,0.0413768611759104,0.0335437752253541,0.0022279231859956,0.0018762628375585,"[0.0370, 0.0457]","[0.0299, 0.0372]","['F=all', 'T=freq', 'GROUP=30', 'K=1000']",all,freq,30,1000
F=all_T=freq_GROUP=30_K=5,4.726918678138749,1.5184993483793082e-05,1,0.0363722082396506,0.0339010943314716,0.0021228696433737,0.0019215173262709,"[0.0322, 0.0405]","[0.0301, 0.0377]","['F=all', 'T=freq', 'GROUP=30', 'K=5']",all,freq,30,5
F=all_T=freq_GROUP=35_K=100,8.992756540344303,1.666773003898793e-12,1,0.0337783074475036,0.0291531691165716,0.0018336486338638,0.0021385576737757,"[0.0302, 0.0374]","[0.0250, 0.0333]","['F=all', 'T=freq', 'GROUP=35', 'K=100']",all,freq,35,100
F=all_T=freq_GROUP=35_K=1000,10.29007502346206,1.0644336406411771e-14,1,0.0355483509892608,0.0296091625735473,0.0022312910119074,0.0022394906072912,"[0.0312, 0.0399]","[0.0252, 0.0340]","['F=all', 'T=freq', 'GROUP=35', 'K=1000']",all,freq,35,1000
F=all_T=freq_GROUP=35_K=5,2.3997961872987155,0.01983435801809,1,0.0311415652054193,0.0296087813252543,0.0021508632437538,0.0027590690164422,"[0.0269, 0.0354]","[0.0242, 0.0350]","['F=all', 'T=freq', 'GROUP=35', 'K=5']",all,freq,35,5
F=all_T=freq_GROUP=40_K=100,6.161873688388294,7.492922493675958e-08,1,0.0292843902083419,0.0257962720019798,0.0021105795712564,0.0022713161474001,"[0.0251, 0.0334]","[0.0213, 0.0302]","['F=all', 'T=freq', 'GROUP=40', 'K=100']",all,freq,40,100
F=all_T=freq_GROUP=40_K=1000,11.405405429585842,1.9936256961456806e-16,1,0.0312231287122941,0.0254771367212755,0.0020071559735929,0.0018935739307133,"[0.0273, 0.0352]","[0.0218, 0.0292]","['F=all', 'T=freq', 'GROUP=40', 'K=1000']",all,freq,40,1000
F=all_T=freq_GROUP=40_K=5,2.6381305320383057,0.0107845411108604,1,0.0269774954487645,0.0255865543365672,0.0022373572896266,0.0018258835717189,"[0.0226, 0.0314]","[0.0220, 0.0292]","['F=all', 'T=freq', 'GROUP=40', 'K=5']",all,freq,40,5
F=all_T=freq_GROUP=45_K=100,7.462423666512744,5.798457722409993e-10,1,0.0268098609490927,0.0232092559530667,0.001696821203571,0.0020260625236775,"[0.0235, 0.0301]","[0.0192, 0.0272]","['F=all', 'T=freq', 'GROUP=45', 'K=100']",all,freq,45,100
F=all_T=freq_GROUP=45_K=1000,8.341465578329355,1.6693034005372218e-11,1,0.0276048596242464,0.0234382051815739,0.0018897521047462,0.0019784277647771,"[0.0239, 0.0313]","[0.0196, 0.0273]","['F=all', 'T=freq', 'GROUP=45', 'K=1000']",all,freq,45,1000
F=all_T=freq_GROUP=45_K=5,3.605113868190647,0.000650180987153,1,0.0247856350108976,0.0233028935585841,0.0016225432355915,0.0015627211718873,"[0.0216, 0.0280]","[0.0202, 0.0264]","['F=all', 'T=freq', 'GROUP=45', 'K=5']",all,freq,45,5
F=all_T=freq_GROUP=50_K=100,6.794208308511697,6.491864292569548e-09,1,0.0239445900787125,0.020666761930735,0.0018638676047904,0.001873119648182,"[0.0203, 0.0276]","[0.0170, 0.0243]","['F=all', 'T=freq', 'GROUP=50', 'K=100']",all,freq,50,100
F=all_T=freq_GROUP=50_K=1000,9.29180507826255,6.082615363549684e-13,1,0.0244372642437413,0.0202842622043816,0.0018864948346333,0.0015601769781747,"[0.0207, 0.0281]","[0.0172, 0.0233]","['F=all', 'T=freq', 'GROUP=50', 'K=1000']",all,freq,50,1000
F=all_T=freq_GROUP=50_K=5,3.3186913795671047,0.0015895541545451,1,0.0218213972458791,0.0202721765620906,0.0016444304266404,0.0019579031065026,"[0.0186, 0.0250]","[0.0164, 0.0241]","['F=all', 'T=freq', 'GROUP=50', 'K=5']",all,freq,50,5
F=all_T=freq_GROUP=55_K=100,8.189174616997706,4.1441903461022026e-11,1,0.0212822361837878,0.0182390447864939,0.0012694277025327,0.0015910393887674,"[0.0188, 0.0238]","[0.0151, 0.0214]","['F=all', 'T=freq', 'GROUP=55', 'K=100']",all,freq,55,100
F=all_T=freq_GROUP=55_K=1000,8.589097605955258,9.182915911322472e-12,1,0.0225745256447273,0.0187148537034344,0.0019212433522636,0.0015384381135807,"[0.0188, 0.0263]","[0.0157, 0.0217]","['F=all', 'T=freq', 'GROUP=55', 'K=1000']",all,freq,55,1000
F=all_T=freq_GROUP=55_K=5,3.557535777948092,0.0008201421479606,1,0.0196404720236821,0.01831471121727,0.0011431841137521,0.0016909920774996,"[0.0174, 0.0219]","[0.0150, 0.0216]","['F=all', 'T=freq', 'GROUP=55', 'K=5']",all,freq,55,5
F=all_T=freq_GROUP=5_K=100,26.53049168931816,1.512364357140447e-32,1,0.2348364383033431,0.198988785076014,0.0059257333672187,0.0044336064849874,"[0.2232, 0.2465]","[0.1903, 0.2077]","['F=all', 'T=freq', 'GROUP=5', 'K=100']",all,freq,5,100
F=all_T=freq_GROUP=5_K=1000,25.42920792151469,5.201712569477208e-33,1,0.2355499687734518,0.1990212248377259,0.0057846920527143,0.0053331270047886,"[0.2242, 0.2469]","[0.1886, 0.2095]","['F=all', 'T=freq', 'GROUP=5', 'K=1000']",all,freq,5,1000
F=all_T=freq_GROUP=5_K=5,10.81348966083596,3.776692489014327e-15,1,0.2157186593037902,0.2011578552048777,0.0044751335636142,0.0058624514068478,"[0.2069, 0.2245]","[0.1897, 0.2126]","['F=all', 'T=freq', 'GROUP=5', 'K=5']",all,freq,5,5
F=all_T=freq_GROUP=60_K=100,1.4675860199136452,0.1481272595968588,0,0.0194700862537727,0.0187959457654383,0.0020342268716506,0.0014805690776655,"[0.0155, 0.0235]","[0.0159, 0.0217]","['F=all', 'T=freq', 'GROUP=60', 'K=100']",all,freq,60,100
F=all_T=freq_GROUP=60_K=1000,5.589833913322979,6.648856802843619e-07,1,0.0208734543891809,0.0181079986859908,0.0017933181109642,0.0020314350391634,"[0.0174, 0.0244]","[0.0141, 0.0221]","['F=all', 'T=freq', 'GROUP=60', 'K=1000']",all,freq,60,1000
F=all_T=freq_GROUP=60_K=5,2.6783184741337505,0.0101954794430206,1,0.018465094323785,0.0174202881183005,0.0010706391133924,0.0018490595526166,"[0.0164, 0.0206]","[0.0138, 0.0210]","['F=all', 'T=freq', 'GROUP=60', 'K=5']",all,freq,60,5
F=all_T=freq_GROUP=65_K=100,4.3399348466297285,6.078527049556886e-05,1,0.0177640790850739,0.016042176045222,0.0013665392630529,0.0016896961876554,"[0.0151, 0.0204]","[0.0127, 0.0194]","['F=all', 'T=freq', 'GROUP=65', 'K=100']",all,freq,65,100
F=all_T=freq_GROUP=65_K=1000,7.9396999083473405,7.811436076656557e-11,1,0.0186079563700771,0.0155628137926901,0.0015149937710064,0.0014552446939287,"[0.0156, 0.0216]","[0.0127, 0.0184]","['F=all', 'T=freq', 'GROUP=65', 'K=1000']",all,freq,65,1000
F=all_T=freq_GROUP=65_K=5,1.0351991672377403,0.3049227519683519,0,0.016326113724923,0.0159372386611023,0.0015314159652653,0.0013741205096622,"[0.0133, 0.0193]","[0.0132, 0.0186]","['F=all', 'T=freq', 'GROUP=65', 'K=5']",all,freq,65,5
F=all_T=freq_GROUP=70_K=100,2.5929943766614936,0.012053363105027,1,0.0169678206759641,0.015627349535429,0.0018908403649107,0.0021076321538557,"[0.0133, 0.0207]","[0.0115, 0.0198]","['F=all', 'T=freq', 'GROUP=70', 'K=100']",all,freq,70,100
F=all_T=freq_GROUP=70_K=1000,8.313044230461218,3.0331459768879096e-11,1,0.0176712162056751,0.0149220500046573,0.0014416753117503,0.0010966076670362,"[0.0148, 0.0205]","[0.0128, 0.0171]","['F=all', 'T=freq', 'GROUP=70', 'K=1000']",all,freq,70,1000
F=all_T=freq_GROUP=70_K=5,-0.3377543204207087,0.7368004824947623,0,0.0152530310042563,0.0153874607003803,0.0016631139875736,0.0014094033031079,"[0.0120, 0.0185]","[0.0126, 0.0181]","['F=all', 'T=freq', 'GROUP=70', 'K=5']",all,freq,70,5
