filename,t_score,p_value,stat_signif,classifier_mean,majority_class_mean,classifier_std_error,majority_class_std_error,classifier_CI_str,majority_class_CI_str,components,F,T,GROUP,K,CRIT
F=textblob-all_CRIT=entropy,-12.913223834626807,1.5640821536500652e-18,-1,0.7656480104053499,0.8088414438388007,0.0138884568465018,0.0119482763316729,"[0.7384, 0.7929]","[0.7854, 0.8323]","['F=textblob-all', 'CRIT=entropy']",textblob-all,,,,entropy
F=textblob-all_CRIT=gini,-17.412238787100122,1.935604657704472e-22,-1,0.7569597180754628,0.8045556373770741,0.0127471412026924,0.0078528311662566,"[0.7320, 0.7819]","[0.7892, 0.8199]","['F=textblob-all', 'CRIT=gini']",textblob-all,,,,gini
F=textblob-all_CRIT=log_loss,-16.09370611555949,6.299493939117113e-22,-1,0.7581548161520683,0.8080756492236056,0.013838144213958,0.0098568031217131,"[0.7310, 0.7853]","[0.7888, 0.8274]","['F=textblob-all', 'CRIT=log', 'loss']",textblob-all,,,,log
F=textblob-all_CRIT=random,-2.0219908051208058,0.0480346652710476,-1,0.8026050464619272,0.8080169028319912,0.0091242831278634,0.0114741825191728,"[0.7847, 0.8205]","[0.7855, 0.8305]","['F=textblob-all', 'CRIT=random']",textblob-all,,,,random
F=textblob-length_CRIT=entropy,-14.735017051362057,7.849956477362926e-20,-1,0.7624290282256155,0.8092624347065027,0.0145611272470235,0.0095412556454298,"[0.7339, 0.7910]","[0.7906, 0.8280]","['F=textblob-length', 'CRIT=entropy']",textblob-length,,,,entropy
F=textblob-length_CRIT=gini,-20.024576698250875,1.2339033504739171e-27,-1,0.7520537432536638,0.8045935152808827,0.0105609358817571,0.0097463237436072,"[0.7314, 0.7728]","[0.7855, 0.8237]","['F=textblob-length', 'CRIT=gini']",textblob-length,,,,gini
F=textblob-length_CRIT=log_loss,-15.381549844311794,4.047891448880476e-22,-1,0.7572474337184527,0.8088504227959045,0.0132019356453982,0.0127813154046399,"[0.7314, 0.7831]","[0.7838, 0.8339]","['F=textblob-length', 'CRIT=log', 'loss']",textblob-length,,,,log
F=textblob-length_CRIT=random,-17.98491728832664,7.399760527188086e-25,-1,0.7537386355851623,0.8032666329621768,0.011705893089978,0.0095123551956381,"[0.7308, 0.7767]","[0.7846, 0.8219]","['F=textblob-length', 'CRIT=random']",textblob-length,,,,random
F=textblob-pair1_CRIT=entropy,-12.433644659896292,5.9724542898657075e-18,-1,0.7655794179812304,0.8063761332815305,0.0132270085965926,0.0121665766308285,"[0.7397, 0.7915]","[0.7825, 0.8302]","['F=textblob-pair1', 'CRIT=entropy']",textblob-pair1,,,,entropy
F=textblob-pair1_CRIT=gini,-13.290447803817056,4.605545732284962e-18,-1,0.7593490087133168,0.8028886451839833,0.0149838316355722,0.0098717771579702,"[0.7300, 0.7887]","[0.7835, 0.8222]","['F=textblob-pair1', 'CRIT=gini']",textblob-pair1,,,,gini
F=textblob-pair1_CRIT=log_loss,-10.5584187674565,1.824191245332128e-14,-1,0.7638040064567064,0.8049239306236268,0.0176007033037495,0.0120512547935566,"[0.7293, 0.7983]","[0.7813, 0.8285]","['F=textblob-pair1', 'CRIT=log', 'loss']",textblob-pair1,,,,log
F=textblob-pair1_CRIT=random,-7.605655201681266,4.067968325836543e-10,-1,0.783077313467287,0.8082678371359212,0.0110755765720071,0.014367582760508,"[0.7614, 0.8048]","[0.7801, 0.8364]","['F=textblob-pair1', 'CRIT=random']",textblob-pair1,,,,random
F=textblob-pair2_CRIT=entropy,-24.384744423454496,1.2520120522945072e-30,-1,0.7222651248011893,0.8030955371519836,0.0145940165280268,0.0108004871850051,"[0.6937, 0.7509]","[0.7819, 0.8243]","['F=textblob-pair2', 'CRIT=entropy']",textblob-pair2,,,,entropy
F=textblob-pair2_CRIT=gini,-27.403362690791223,3.2385309813658414e-33,-1,0.7149453143723417,0.8053812256943665,0.0144911156287497,0.0108047376176978,"[0.6865, 0.7433]","[0.7842, 0.8266]","['F=textblob-pair2', 'CRIT=gini']",textblob-pair2,,,,gini
F=textblob-pair2_CRIT=log_loss,-21.763020452178537,4.497164501720641e-27,-1,0.7164709416430258,0.8019496901806807,0.0180474525002722,0.0117087880805178,"[0.6811, 0.7518]","[0.7790, 0.8249]","['F=textblob-pair2', 'CRIT=log', 'loss']",textblob-pair2,,,,log
